reference	text
Matthew 8:28	When he came to the other side, into the country of the Gergesenes, two people possessed by demons met him there, coming out of the tombs, exceedingly fierce, so that nobody could pass that way.
Matthew 8:29	"Behold, they cried out, saying, ""What do we have to do with you, Yeshua, Son of Elohim? Have you come here to torment us before the time?"""
Matthew 8:30	Now there was a herd of many pigs feeding far away from them.
Matthew 8:31	"The demons begged him, saying, ""If you cast us out, permit us to go away into the herd of pigs."""
Matthew 8:32	"He said to them, ""Go!"" They came out, and went into the herd of pigs: and behold, the whole herd of pigs rushed down the cliff into the sea, and died in the water."
Matthew 8:33	Those who fed them fled, and went away into the city, and told everything, including what happened to those who were possessed with demons.
Matthew 8:34	Behold, all the city came out to meet Yeshua. When they saw him, they begged that he would depart from their borders.
Matthew 9:1	He entered into a boat, and crossed over, and came into his own city.
Matthew 9:2	"Behold, they brought to him a person who was paralyzed, lying on a bed. Yeshua, seeing their faith, said to the paralytic, ""Son, cheer up! Your sins are forgiven you."""
Matthew 9:3	"Behold, some of the scribes said to themselves, ""This man blasphemes."""
Matthew 9:4	"Yeshua, knowing their thoughts, said, ""Why do you think unripeness in your hearts?"
Matthew 9:5	For which is easier, to say, 'Your sins are forgiven;' or to say, 'Get up, and walk?'
Matthew 9:6	"But that you may know that the Human One has authority on earth to forgive sins..."" (then he said to the paralytic), ""Get up, and take up your mat, and go up to your house."""
Matthew 9:7	He arose and departed to his house.
Matthew 9:8	But when the multitudes saw it, they marveled and glorified Elohim, who had given such authority to people.
Matthew 9:9	"As Yeshua passed by from there, he saw a man called Matai sitting at the tax collection office. He said to him, ""Follow me."" He got up and followed him."
Matthew 9:10	It happened as he sat in the house, behold, many tax collectors and sinners came and sat down with Yeshua and his disciples.
Matthew 9:11	"When the Pharisees saw it, they said to his disciples, ""Why does your teacher eat with tax collectors and sinners?"""
Matthew 9:12	"When Yeshua heard it, he said to them, ""Those who are healthy have no need for a physician, but those who are sick do."
Matthew 9:13	"But you go and learn what this means: 'I desire mercy, and not sacrifice,' for I came not to call the righteous, but sinners to turning back."""
Matthew 9:14	"Then Yochanan's disciples came to him, saying, ""Why do we and the Pharisees fast often, but your disciples don't fast?"""
Matthew 9:15	"Yeshua said to them, ""Can the friends of the bridegroom mourn, as long as the bridegroom is with them? But the days will come when the bridegroom will be taken away from them, and then they will fast."
Matthew 9:16	No one puts a piece of unshrunk cloth on an old garment; for the patch would tear away from the garment, and a worse hole is made.
Matthew 9:17	"Neither do people put new wine into old wineskins, or else the skins would burst, and the wine be spilled, and the skins ruined. No, they put new wine into fresh wineskins, and both are preserved."""
Matthew 9:18	"While he told these things to them, behold, a ruler came and worshiped him, saying, ""My daughter has just died, but come and lay your hand on her, and she will live."""
Matthew 9:19	Yeshua got up and followed him, as did his disciples.
Matthew 9:20	Behold, a woman who had an issue of blood for twelve years came behind him, and touched the fringe of his garment;
Matthew 9:21	"for she said within herself, ""If I just touch his garment, I will be made well."""
Matthew 9:22	"But Yeshua, turning around and seeing her, said, ""Daughter, cheer up! Your faith has made you well."" And the woman was made well from that hour."
Matthew 9:23	When Yeshua came into the ruler's house, and saw the flute players, and the crowd in noisy disorder,
Matthew 9:24	"he said to them, ""Make room, because the girl isn't dead, but sleeping."" They were ridiculing him."
Matthew 9:25	But when the crowd was put out, he entered in, took her by the hand, and the girl arose.
Matthew 9:26	The report of this went out into all that land.
Matthew 9:27	"As Yeshua passed by from there, two blind men followed him, calling out and saying, ""Have mercy on us, son of Dawid!"""
Matthew 9:28	"When he had come into the house, the blind men came to him. Yeshua said to them, ""Do you trust that I am able to do this?"" They told him, ""Yes, Master."""
Matthew 9:29	"Then he touched their eyes, saying, ""According to your faith be it done to you."""
